Code	Color	Name	MainType	UMLS	NCI	Tissue	Parent
NVRINT	LightSalmon	Neoplastic Vs Reactive	Neoplastic Vs Reactive			Hematopoietic	MNM
MDSWP	LightSalmon	Myelodysplastic Workup	Myelodysplastic Workup			Hematopoietic	MNM
MPNWP	LightSalmon	Myeloproliferative Workup	Myeloproliferative Workup			Hematopoietic	MNM
LGBCL	LimeGreen	Low-Grade B-Cell Lymphoma	Mature B-Cell Neoplasms			Hematopoietic	MBN
MDS	LightSalmon	Myelodysplastic Neoplasms	Myeloid Proliferations and Neoplasms	C3463824	C3247	Hematopoietic	MNM
MDSID5Q	LightSalmon	Myelodysplastic Neoplasm with Low Blasts and 5q Deletion	Myelodysplastic Neoplasm with Low Blasts	C1292779	C6867	Hematopoietic	MDSGA
MDSSLD	LightSalmon	Myelodysplastic Neoplasm with Low Blasts and Single-Lineage Dysplasia	Myeloid Proliferations and Neoplasms	C2826318	C82591	Hematopoietic	MDSLB
MDSMD	LightSalmon	Myelodysplastic Neoplasm with Low Blasts and Multilineage Dysplasia	Myeloid Proliferations and Neoplasms	C0796466	C8574	Hematopoietic	MDSLB
MDSEB	LightSalmon	Myelodysplastic Neoplasm with Increased Blasts	Myeloid Proliferations and Neoplasms	C1318550	C7506	Hematopoietic	MDSDM
MDSEB1	LightSalmon	Myelodysplastic Neoplasm with Increased Blasts-1	Myeloid Proliferations and Neoplasms	C1318550	C7167	Hematopoietic	MDSEB
MDSEB2	LightSalmon	Myelodysplastic Neoplasm with Increased Blasts-2	Myeloid Proliferations and Neoplasms	C1318551	C7168	Hematopoietic	MDSEB
NCMLTBP	LightSalmon	Non-CML Type MPN Blast Phase	Myeloproliferative Neoplasms			Hematopoietic	CMPN
CMLBP	LightSalmon	CML Blast Phase 	Leukemia			Hematopoietic	CML
CMLCP	LightSalmon	CML Chronic Phase	Leukemia			Hematopoietic	CML
CMPN	LightSalmon	Non-CML Type Classical MPN	Myeloproliferative Neoplasms			Hematopoietic	MPN
CFL	LimeGreen	Classic Follicular Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	FL
FLPDP	LimeGreen	Follicular Lymphoma with Predominantly Diffuse Growth Pattern	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	FL
MLUAD	Gainsboro	Micropapillary Lung Adenocarcinoma	Non-Small Cell Lung Cancer			Lung	LUAD
